날짜,강수량(mm)
2019-07-12,
2019-07-13,0
2019-07-14,
2019-07-15,7.7
2019-07-16,6.3
2019-07-17,0.7
2019-07-18,
2019-07-19,0
2019-07-20,1.1
2019-07-21,6.2
2019-07-22,0.1
2019-07-23,
2019-07-24,1
2019-07-25,9.7
2019-07-26,60
2019-07-27,0.6
2019-07-28,25.6
2019-07-29,0.5
2019-07-30,1.2
2019-07-31,62.3
2019-08-01,26.9
2019-08-02,
2019-08-03,3
2019-08-04,8.6
2019-08-05,
2019-08-06,
2019-08-07,8
2019-08-08,0
2019-08-09,
2019-08-10,
2019-08-11,6.7
2019-08-12,56.2
2019-08-13,6.4
2019-08-14,
2019-08-15,16.2
2019-08-16,0.1
2019-08-17,0
2019-08-18,
2019-08-19,
2019-08-20,
2019-08-21,1.3
2019-08-22,
2019-08-23,
2019-08-24,
2019-08-25,
2019-08-26,
2019-08-27,20
2019-08-28,
2019-08-29,36.9
2019-08-30,0.2
2019-08-31,
2019-09-01,
2019-09-02,
2019-09-03,0
2019-09-04,22.7
2019-09-05,36.4
2019-09-06,2.4
2019-09-07,2.8
2019-09-08,0
2019-09-09,0
2019-09-10,63.2
2019-09-11,7.6
2019-09-12,3.9
2019-09-13,0.1
2019-09-14,0.3
2019-09-15,
2019-09-16,
2019-09-17,
2019-09-18,
2019-09-19,
2019-09-20,
2019-09-21,
2019-09-22,0.4
2019-09-23,
2019-09-24,
2019-09-25,
2019-09-26,
2019-09-27,
2019-09-28,
2019-09-29,
2019-09-30,
2019-10-01,
2019-10-02,23.1
2019-10-03,4.6
2019-10-04,
2019-10-05,0.6
2019-10-06,
2019-10-07,25.4
2019-10-08,
2019-10-09,
2019-10-10,
2019-10-11,
2019-10-12,
2019-10-13,
2019-10-14,
2019-10-15,
2019-10-16,
2019-10-17,
2019-10-18,
2019-10-19,
2019-10-20,
2019-10-21,
2019-10-22,
2019-10-23,
2019-10-24,
2019-10-25,0
2019-10-26,
2019-10-27,
2019-10-28,1.7
2019-10-29,0.1
2019-10-30,
2019-10-31,
2020-05-01,
2020-05-02,0
2020-05-03,0
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,2.3
2020-05-09,24.4
2020-05-10,1.3
2020-05-11,3.4
2020-05-12,0.7
2020-05-13,
2020-05-14,
2020-05-15,12
2020-05-16,2.5
2020-05-17,0
2020-05-18,29.8
2020-05-19,19
2020-05-20,0
2020-05-21,
2020-05-22,0
2020-05-23,0
2020-05-24,14.5
2020-05-25,
2020-05-26,1.5
2020-05-27,
2020-05-28,0
2020-05-29,
2020-05-30,
2020-05-31,1
2020-06-01,0.4
2020-06-02,2
2020-06-03,
